Fuel Name,BTU per unit,J/unit,kWh/unit,Units of Measurement,Estimated cost per unit,Efficiency,Emissions (gCO2e/kJ),,,,,
Oil 2,"13,850",14612523.56,4.059034322,Gallon,4.4,0.9,0.07018,,0.06916,Distillate Fuel Oil No. 1,38.78,69.16
Oil 4,"145,000",152983098.6,42.49530517,Gallon,4.8,0.9,0.0711,,0.07018,Distillate Fuel Oil No. 2,38.5,70.18
Oil 6,"153,000",161423545.4,44.83987374,Gallon,4.9,0.9,,,0.0711,Distillate Fuel Oil No. 4,40.73,71.1
Natural Gas,"100,000",105505585.3,29.30710702,Therm,2,0.9,0.05965,,0.07118,Kerosene,37.68,71.18
Propane,"92,500",97592666.37,27.10907399,Gallon,2.4,0.9,0.05959,,0.05965,Propane or Liquefied petroleum gases (LPG),25.66,59.65
Coal Hard,"26,000,000",27431452168,7619.847824,Ton,135,0.9,,,0.05959,"*Propane (pure, not mixtures of LPGs)",25.48,59.59
Coal Soft,"24,000,000",25321340462,7033.705684,Ton,130,0.9,,,0.06246,Propylene,25.39,62.46
Electricity,"3,412",3599850.569,0.999958491,kWh,0.13,1,0.011111111,,0.05649,Ethane,18.91,56.49
Butane,"130,000",137157260.8,38.09923912,Gallon,1.6,0.9,0.06083,,0.05649,Ethylene,27.9,56.49
Ethanol,"76,000",80184244.8,22.27340133,Gallon,2.82,0.9,,,0.06155,Isobutane,27.61,61.55
Gasoline,"125,000",131881981.6,36.63388377,Gallon,4.09,0.9,,,0.06416,Isobutylene,28.73,64.16
Kerosene,"135,000",142432540.1,39.56459447,Gallon,4.17,0.9,0.07118,,0.06083,Butane,28.8,60.83
Methanol,"57,000",60138183.6,16.705051,Gallon,5.4,0.9,,,0.06139,Butylene,28.73,61.39
BioDiesel,"120,000",126606702.3,35.16852842,Gallon,3.65,0.9,,,0.06329,Natural Gasoline,30.69,63.29
Waste Oil,"125,000",131881981.6,36.63388377,Gallon,3,0.9,,,0.0654,Motor Gasoline,34.87,65.4
Landfill Gas,500,527527.9263,0.146535535,cu ft,0.01,0.9,,,0.06549,Aviation Gasoline,33.52,65.49
Methane,"1,000",1055055.853,0.29307107,cu ft,0.02,0.9,,,0.07122,Kerosene-Type Jet Fuel,37.66,71.22
Sawdust Dry,"16,000,000",16880893642,4689.137123,Ton,60,0.9,,,,,,
Sawdust Green,"9,000,000",9495502673,2637.639632,Ton,50,0.9,,,,,,
Wood Hard,"21,000,000",22156172905,6154.492474,Cord,175,0.9,,,,,,
Wood Soft,"12,500,000",13188198158,3663.388377,Cord,130,0.9,,,0.011111111,0.04,,
Wood Hogged,"18,000,000",18991005347,5275.279263,Ton,140,0.9,,,,,,
Wood Chips 45,"7,600,000",8018424480,2227.340133,Ton,60,0.9,,,,,,
Wood Pellets 10,"16,000,000",16880893642,4689.137123,Ton,150,0.9,,,,,,
Bark,"9,750,000",10286794563,2857.442934,Ton,85,0.9,,,,,,
Corn Cobs,"16,500,000",17408421568,4835.672658,Ton,90,0.9,,,,,,
Corn Shells,"16,000,000",16880893642,4689.137123,Ton,85,0.9,,,,,,
Plastic,"19,000",20046061.2,5.568350333,lb,0.5,0.9,,,,,,
Rubber Pellets,"33,000,000",34816843136,9671.345316,Ton,150,0.9,,,,,,
Switchgrass,11625000,12265024286,3406.951191,Ton,60,0.9,,,,,,
